Q1_1,Q1_2,Q1_3,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q9_1,Q9b_1,Q10_1,Q10b_1,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11b_1,Q12,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q14,Q15,Q15b,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_9_TEXT
3,2,3,Unsure,Unsure,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,40,25,55,19,7,1,5,4,2,3,6,8,50,Yes,7,1,3,2,5,4,6,8,Unsure,No,NA,4,5,7,6,8,3,1,2,9,NA
5,4,3,Yes,No,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,30,32,76,78,NA,5,1,1,1,NA,1,8,55,Yes,7,5,4,2,6,2,4,8,Yes,No,NA,3,5,4,4,NA,6,1,6,9,NA
5,3,1,No,No,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,77,98,34,80,7,4,6,2,4,7,1,1,50,Yes,7,1,5,4,5,6,6,8,Unsure,No,NA,NA,1,8,1,5,8,4,4,9,NA
5,5,3,Unsure,No,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,61,75,69,90,7,5,6,2,1,4,4,8,51,Unsure,7,1,8,2,3,4,3,8,Unsure,No,NA,NA,2,5,4,1,1,5,3,9,NA
4,5,4,Yes,Unsure,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,76,87,66,33,7,6,5,2,4,3,1,2,57,Yes,1,2,4,1,3,4,6,8,Unsure,No,NA,3,3,2,1,5,4,5,5,9,NA
4,5,4,No,Unsure,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,50,59,75,NA,NA,4,5,1,1,3,7,8,30,Yes,7,6,1,2,5,4,2,7,No,No,https://doi.org/10.1111/gcb.12191,2,7,7,1,2,3,NA,6,9,NA
4,5,2,Yes,Unsure,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,77,NA,67,94,7,5,4,2,1,6,4,8,78,Unsure,7,3,6,5,3,4,7,8,Yes,Yes,NA,1,6,4,6,5,6,7,6,9,NA
5,3,3,Yes,Unsure,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,78,85,67,50,7,4,6,4,3,2,5,8,75,Yes,7,1,2,1,1,5,6,2,Unsure,No,NA,1,5,4,6,1,8,NA,NA,9,NA
4,5,3,No,Unsure,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,43,57,50,30,7,4,4,3,2,2,NA,8,70,Yes,7,3,6,2,4,7,6,8,No,No,NA,5,3,6,5,2,4,2,8,9,NA
5,4,5,No,No,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,65,50,33,84,6,4,4,1,6,2,2,8,50,Unsure,8,1,5,5,6,5,4,1,Unsure,No,NA,7,2,5,6,5,8,6,NA,9,NA
5,5,4,Yes,No,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,30,95,42,85,7,6,3,3,4,2,NA,8,100,Yes,8,5,1,3,1,7,6,8,No,No,https://doi.org/10.1111/2041-210X.14087,4,5,6,8,2,6,6,5,9,NA
2,4,5,Unsure,No,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,77,85,33,33,7,4,6,5,3,NA,1,8,69,Yes,7,5,3,5,6,6,6,8,Unsure,No,NA,4,2,6,1,4,1,5,8,9,NA
5,5,2,No,Unsure,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,24,60,68,15,7,5,4,3,3,4,4,7,48,Yes,2,1,2,5,3,6,4,8,Yes,No,NA,5,5,NA,8,8,3,5,8,9,NA
4,3,3,No,No,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,77,55,NA,75,7,NA,5,2,3,4,NA,7,50,Yes,7,4,1,4,4,2,7,8,Yes,No,NA,2,3,8,2,2,8,7,5,9,NA
4,4,3,Yes,No,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,43,12,68,75,7,4,3,3,2,4,3,8,65,Yes,7,1,5,2,NA,6,2,3,No,No,NA,NA,6,7,3,4,3,4,6,NA,NA
5,4,2,No,No,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,40,50,70,50,7,4,5,1,4,2,3,8,60,Yes,3,3,7,2,1,6,4,8,No,No,NA,4,1,8,3,8,8,NA,3,9,NA
3,4,5,No,No,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,65,45,67,80,7,7,5,4,7,2,8,8,57,Yes,8,4,5,4,4,2,7,7,No,No,NA,2,3,7,6,8,4,4,4,9,NA
4,5,5,Yes,No,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,70,86,67,54,7,6,2,1,3,6,2,8,60,Unsure,7,2,6,2,2,6,3,8,Unsure,No,NA,1,3,6,4,7,2,2,8,7,NA
5,3,2,No,Yes,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,49,80,67,40,7,5,5,NA,3,1,6,8,81,Yes,7,2,1,5,3,5,1,8,Yes,No,NA,5,7,6,3,8,1,5,7,9,NA
4,3,5,Yes,Unsure,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,37,40,NA,12,7,7,4,3,1,5,4,8,40,Yes,7,4,7,4,3,5,4,8,Yes,No,NA,NA,3,4,NA,3,8,1,6,9,NA
4,5,3,No,Unsure,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,61,76,20,5,7,3,4,6,6,6,2,8,75,Yes,8,3,2,6,2,5,5,8,Yes,No,NA,1,6,8,5,6,4,1,4,9,NA
5,4,3,No,Yes,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,77,74,67,NA,5,5,5,3,NA,3,4,NA,NA,Yes,7,6,1,5,3,1,1,7,Unsure,No,NA,5,5,NA,7,1,NA,7,7,9,NA
4,3,5,Yes,Unsure,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,75,80,62,62,8,6,5,NA,3,6,2,8,70,Yes,7,2,5,NA,5,5,6,8,Yes,No,NA,7,2,6,4,NA,4,8,4,9,NA
3,4,5,No,Unsure,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,65,50,57,80,7,6,2,1,1,2,6,8,30,Yes,7,4,1,2,6,5,6,8,No,No,NA,1,1,5,3,6,2,6,6,9,NA
5,4,3,No,No,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,63,NA,60,13,7,5,3,3,2,1,1,8,50,Yes,7,1,1,6,5,5,NA,8,Unsure,No,NA,3,2,4,8,NA,3,2,1,9,NA
5,3,3,Yes,No,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,76,50,60,51,7,6,4,2,1,7,1,NA,28,Yes,7,5,2,3,5,2,6,8,Yes,No,NA,5,2,5,2,8,1,6,NA,9,NA
4,5,5,No,Yes,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,50,51,32,7,6,5,6,3,4,5,8,75,Unsure,7,1,2,5,NA,5,NA,7,No,No,NA,5,1,4,2,NA,8,1,6,9,NA
3,3,4,No,No,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,24,,67,47,8,6,3,5,2,3,2,8,46,Yes,7,6,1,5,5,2,6,8,Unsure,No,NA,8,3,7,NA,4,3,7,8,9,NA
4,3,5,Yes,No,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,31,25,70,69,7,6,4,6,2,3,1,NA,28,Unsure,7,1,3,3,2,3,3,8,No,No,NA,4,6,8,2,3,5,NA,NA,9,NA
4,4,4,No,No,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,75,67,45,90,7,5,5,3,4,5,5,8,65,Unsure,7,3,NA,2,3,5,4,8,Yes,No,NA,2,2,6,3,4,2,2,7,9,NA
5,5,5,No,Yes,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,37,70,13,66,7,5,NA,1,5,6,NA,8,NA,No,7,6,1,3,4,4,2,8,Unsure,No,NA,2,NA,7,8,3,1,4,4,9,NA
5,4,4,No,No,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,70,30,69,75,3,7,5,NA,2,4,2,8,NA,Yes,7,3,1,5,6,2,4,NA,No,No,NA,1,3,8,2,4,6,NA,1,9,NA
4,4,5,No,No,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,75,60,50,50,7,NA,5,4,4,2,4,8,19,Yes,1,2,7,1,2,3,2,8,Yes,No,NA,1,8,3,4,8,NA,7,8,NA,NA
4,4,3,Yes,Yes,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,70,35,67,46,7,5,7,2,2,6,NA,7,50,Yes,3,1,3,NA,4,3,6,8,Yes,No,NA,2,2,5,1,8,3,NA,5,NA,NA
5,3,2,Yes,No,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,48,70,32,84,7,4,3,2,1,5,1,8,42,Yes,7,2,1,1,4,7,4,8,Yes,No,NA,1,6,5,8,3,NA,2,5,9,NA
5,4,4,Yes,Unsure,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,64,50,60,60,7,NA,6,3,6,2,3,8,57,Yes,NA,1,1,4,5,3,6,8,Unsure,No,NA,4,5,7,8,6,8,5,2,9,NA
5,4,5,Yes,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,50,40,51,40,3,5,5,2,3,2,6,8,25,Yes,8,3,1,5,5,3,4,8,Unsure,No,NA,2,1,9,3,7,3,2,3,9,NA
4,4,4,No,Unsure,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,75,71,50,70,3,6,2,4,6,NA,1,8,30,Yes,4,1,1,4,3,2,4,NA,No,No,NA,1,2,NA,6,5,6,7,8,NA,NA
5,3,4,Yes,No,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,67,45,64,100,7,4,5,5,3,2,3,7,30,Yes,NA,4,7,6,6,5,6,7,Unsure,No,Ross et al. 2023 provides a good overview of measuring response diversity. ,2,2,8,7,8,5,6,1,9,NA
4,5,4,Unsure,No,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,43,100,68,100,4,6,4,NA,6,1,5,7,37,No,1,4,4,2,7,NA,1,8,Unsure,No,NA,1,NA,8,3,7,3,3,8,9,NA
4,5,3,Unsure,Unsure,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,50,0,67,NA,6,5,3,2,2,5,4,8,40,Yes,7,5,1,2,2,6,4,1,Unsure,No,NA,4,4,NA,3,1,7,6,7,9,NA
4,4,3,Yes,Unsure,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,76,54,87,,1,3,3,1,NA,2,5,8,NA,Yes,7,2,4,3,4,5,2,8,Yes,No,NA,1,4,8,3,5,7,3,8,9,NA
4,5,3,Yes,Yes,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,74,55,50,25,7,6,NA,2,NA,1,6,8,25,Yes,1,3,1,4,3,6,5,8,Unsure,No,NA,1,NA,4,NA,7,6,6,NA,NA,NA
4,3,5,No,Yes,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80,65,67,77,7,5,7,5,3,NA,1,8,37,Yes,7,5,5,1,5,8,6,8,Yes,No,NA,1,3,7,1,8,1,7,8,9,All have similar importance
5,3,4,No,No,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,70,30,68,16,7,NA,2,2,1,2,1,NA,3,Yes,8,4,4,3,2,5,4,8,No,No,NA,3,4,7,NA,NA,7,7,4,9,NA
5,5,4,Yes,No,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,44,28,67,25,8,5,4,2,1,3,1,1,21,Yes,8,3,NA,6,6,3,6,8,Yes,No,NA,1,3,7,3,8,6,2,5,9,NA
4,3,3,No,No,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,50,2,90,48,8,6,6,2,5,3,6,8,25,Yes,7,NA,6,2,4,3,6,8,Unsure,No,NA,3,6,5,5,3,8,2,3,9,NA
3,5,3,No,Yes,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,75,60,65,55,6,6,7,4,1,2,5,8,50,Yes,7,2,1,3,2,6,3,7,Unsure,Yes,NA,NA,NA,2,5,1,3,3,8,9,NA
4,5,3,No,Unsure,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,76,100,70,1,7,4,3,3,1,3,7,8,NA,Unsure,7,1,5,5,6,5,5,8,Unsure,Yes,NA,1,1,2,7,7,6,8,2,9,NA
5,5,5,Unsure,Unsure,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,60,76,66,10,7,4,4,1,5,2,3,8,20,Yes,1,2,1,6,5,4,5,8,Unsure,No,NA,1,6,4,1,2,7,3,6,9,NA
5,5,3,Unsure,No,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,77,75,34,44,7,5,4,4,6,6,6,8,43,Yes,7,2,7,3,5,3,6,8,Yes,No,NA,5,6,3,5,7,8,6,6,9,NA
3,4,3,Yes,Unsure,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,76,25,32,50,7,5,NA,1,2,7,3,8,56,No,7,2,6,7,3,5,6,8,No,No,NA,7,2,8,7,5,NA,3,3,9,NA
5,3,4,Yes,No,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,65,43,63,67,NA,6,5,1,3,1,2,8,100,Yes,7,1,3,6,4,3,6,8,No,No,NA,2,7,7,4,4,NA,5,8,9,NA
3,3,2,Yes,No,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,100,50,33,NA,8,6,3,3,6,6,6,7,45,Yes,7,1,1,2,3,4,8,8,No,Yes,NA,1,1,4,7,NA,7,2,7,9,NA
4,5,5,Yes,Unsure,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,52,75,67,40,7,5,1,1,5,1,3,8,80,Yes,1,4,6,4,4,6,6,8,Yes,No,NA,2,4,8,3,3,4,5,5,9,NA
5,3,4,No,No,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,49,60,51,85,7,4,NA,6,2,3,2,8,33,Yes,6,1,6,1,4,6,3,8,Yes,No,NA,1,1,5,6,6,8,4,8,9,NA
4,4,5,Yes,No,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,76,62,60,54,8,4,6,NA,1,3,5,NA,3,Yes,7,NA,5,2,6,4,5,8,Yes,No,NA,5,3,3,NA,2,7,5,3,9,NA
4,4,4,No,No,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,50,31,47,20,8,5,6,6,1,1,5,8,6,Yes,8,5,2,4,4,4,3,8,Unsure,No,NA,6,6,7,2,8,7,7,7,1,NA
5,4,3,Yes,Yes,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,43,60,50,NA,5,6,5,5,1,2,6,8,20,Yes,4,2,3,4,5,7,3,8,Unsure,No,10.1111/2041-210X.14087,NA,5,5,5,5,2,2,5,9,NA
5,4,3,Unsure,Unsure,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,62,90,70,NA,NA,4,3,4,2,4,4,8,73,Yes,7,4,3,4,5,7,4,8,No,No,NA,7,NA,5,6,8,NA,2,8,9,NA
2,3,3,Unsure,No,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,75,65,70,38,1,6,4,2,NA,3,4,8,NA,Yes,3,4,5,2,2,6,6,7,No,Yes,NA,4,4,7,2,7,4,6,2,9,NA
5,4,2,No,No,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,51,50,80,28,8,5,5,2,3,1,4,8,30,Yes,7,1,2,2,8,2,4,7,No,No,NA,1,1,NA,5,4,2,7,6,9,NA
5,5,2,No,No,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,30,66,NA,75,7,5,NA,1,NA,2,6,8,13,Unsure,7,1,1,4,6,5,2,8,Unsure,No,10.1111/2041-210X.14087,4,6,5,1,7,4,4,NA,9,NA
4,3,4,Yes,Unsure,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,50,100,34,51,7,NA,4,5,2,2,3,8,27,Yes,7,1,1,1,6,4,3,1,No,No,NA,1,4,6,3,6,3,1,8,9,NA
3,3,4,No,No,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,76,1,85,60,7,6,2,1,2,2,3,8,0,Yes,7,1,6,2,2,6,2,8,Yes,No,NA,1,7,NA,8,4,4,6,6,9,NA
5,5,NA,Yes,No,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,NA,25,100,48,7,4,4,6,3,1,1,8,31,Yes,8,3,5,5,3,3,5,2,Yes,No,NA,3,NA,4,6,3,1,3,2,NA,NA
5,4,5,Yes,Yes,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,38,73,50,75,7,3,4,1,1,NA,5,8,62,No,8,3,3,2,2,3,5,8,Unsure,No,NA,5,2,8,NA,8,6,1,2,9,NA
5,5,4,No,No,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,76,52,67,100,NA,2,3,1,5,7,6,8,65,Yes,6,2,3,1,3,5,3,8,Yes,No,NA,1,7,7,4,3,4,7,7,9,NA
5,5,3,Unsure,No,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,75,100,68,25,7,6,3,1,6,1,1,8,25,Yes,7,4,7,3,1,NA,6,8,No,Yes,NA,2,5,1,2,7,2,4,9,9,NA